# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
bloom|[bluːm] n. 花；开花 v. 开花；繁盛|The apple-trees are out of bloom.|苹果树已经落了花。
blossom|[ˈblɒsəm] n. 花；开花 vi. 开花；成长|The sunshine will bring out the blossom.|阳光将使花朵开放。
blow|[bləʊ] n. 打击；殴打 v. 吹；风吹|The death of their daughter was a cruel blow.|女儿的死对他们是一个残酷的打击。
board|[bɔːd] n. 木板；布告板 v. 登(飞机、车、船等)；接受乘客|Will you draw the nails from this board?|请你把钉子从这块木板上拔出来好吗?
boast|[bəʊst] v. 自夸；吹牛 n. 自夸；引以为荣的事物|Don't boast and don't be modest.|不要自夸,也不要太谦虚。
boat|[bəʊt] n. 船；船型物 v. 划船；放于船上|They pushed the boat further into the water.|他们把小船又往水里推了推。
boil|[bɔɪl] v. 沸腾；煮沸 n. 煮沸；翻滚|The kettle is boiling.|壶里的水开了。
bold|[bəʊld] adj. 大胆的；陡峭的|Bold outlines and warm colors characterize his dominate style in painting.|他大胆的绘画和所有的暖色调表现了他独有的绘画特色。
bolt|[bəʊlt] n. 门闩；螺栓 v. （突然）逃离；闩住 adv. 挺直地|The bolt slotted smoothly into place.|插销很容易就插上了。
bomb|[bɒm] n. 炸弹 vt. 轰炸；投弹于 vi. 投弹；失败|The bomb exploded in a twinkling.|炸弹一会儿就爆炸了。
bond|[bɒnd] n. 债券；结合 vt. 使结合；为 ... 作保 vi. 连结；粘合|An industrial firm issues bond to collect money and will pay back with interest.|工厂发行债券集资并偿还利息。
bone|[bəʊn] n. 骨骼；骨 vt. 除去骨头；往衣服里加撑条 vi. 努力学习 adv. 非常地；极其地|Scientists have dated the fossils by their bone structure.|科学家根据那些化石的骨骼结构确定其年代。
book|[bʊk] n. 书；本子 v. 预订；记录在案|That student lost his book yesterday.|那个学生昨天丢了书。
boot|[buːt] n. 靴子；猛踢 vt. 踢；穿靴子|My foot won't go into this boot.|我的脚伸不进这只靴子。
booth|[buːð] n. 货摊；电话亭|Would you please watch over my booth?|请您照料一下我的摊位好吗?
bore|[bɔː(r)] v. 使厌烦；开凿 n. 讨厌的人；麻烦事|He bored us all by talking for hours about his new house.|他连续几个小时大谈他的新房子，使我们大家都厌烦透了。
born|[bɔːn] adj. 出生的；与生俱来的 动词bear的过去分词.|The youngest is a born rider of the rails.|小儿子是天生的流浪儿。
bosom|[ˈbʊzəm] n. 胸部；胸怀 adj. 亲密的；知心的 vt. 拥抱；把...藏心中|She clasped the baby to her bosom.|她把孩子紧紧抱在怀里。
both|[bəʊθ] adj. 两者的 pron. 两者 conj. 不但 ... 而且 ...|Both his eyes are hurt.|他的两眼都受伤了。
bother|[ˈbɒðə(r)] v. 烦扰；使恼怒 n. 麻烦；烦扰|Don't write anything that will bother the censor.|你可别写什么给检查员找麻烦的话。
bottle|[ˈbɒtl] n. 瓶子 vt. 抑制；把 ... 装入瓶内|Why don't we crack open a bottle of champagne to celebrate?|我们何不开瓶香槟酒庆祝一下呢？
bottom|[ˈbɒtəm] n. 底部；底端 adj. 底部的 v. 触底；打(基础)|There are tea leaves in the bottom of my cup.|我的杯底有茶叶。
bough|[baʊ] n. 大树枝|The window of her car was broken by a bough during last night's storm.|在昨晚的风暴中她的车窗被一根大树枝打破了。
bounce|[baʊns] vi. 弹起；重新恢复 vt. 使弹起；解雇 n. 弹跳；弹力|The ball hit the wall and bounced off it.|球打在墙上又反弹回来。
bound|[baʊnd] adj. 必定的；有义务的 vi. 跳；跳跃前进 n. 跳跃；范围|It's bound to rain soon.|过一会儿肯定会下雨。
boundary|[ˈbaʊndri] n. 边界；分界线|We crossed the state boundary at midnight.|我们在午夜穿过了州界。
bow|[baʊ] n. 弓；鞠躬礼 v. 鞠躬；致敬|At that time, people hunt with bows and arrows.|在那时,人们以弓﹑ 箭行猎。
bowl|[bəʊl] n. 碗；碗状物 n. 木球；保龄球 v. 投球；打保龄球|I have a bowl of cereal every morning.|我每天早晨吃一碗麦片粥。
brain|[breɪn] n. 脑；智力 vt. 打 ... 的脑袋|The drug may cause permanent brain damage.|这种药可能会引起永久性的脑部伤害。
brake|[breɪk] n. 制动器；闸 v. 刹车|There's too much travel on the brake, it needs tightening.|制动器太松了，需要调紧。
branch|[brɑːntʃ] n. 分部；部门 v. 分岔；分支|Can we drop the car off at any of your branch?|我们可以在你们的任何一家分公司还车吗？
brand|[brænd] n. 烙印；商标 vt. 加污名于；铭记|As an author who was in a period when the new and the old interlaced, Cervantes had a brand of two ages inevitably.|作为新旧两个时代交替期的作家,塞万提斯身上不可避免地带有两个时代的烙印。
brandy|[ˈbrændi] n. 白兰地酒 v. 以白兰地酒调制|She fainted but the brandy soon revived her.|她昏迷了，但喂她些白兰地酒就很快醒过来了。
brass|[brɑːs] n. 黄铜(制品)；铜管（乐器） adj. 黄铜的|Brass is formed by the fusion of copper and zinc.|黄铜是由铜和锌熔合制成的。
brave|[breɪv] adj. 勇敢的；英勇的 v. 勇敢地面对|The soldier's brave deeds brought him honor and glory.|士兵的勇敢事迹为他带来了荣耀和赞美。
bread|[bred] n. 面包 vt. 在 ... 上撒面包屑|They had nothing to eat but stale bread.|除了陈面包外，他们没有别的东西可吃。
breadth|[bredθ] n. 宽度|The length of the table is twice its breadth.|桌子的长度是它的宽度的两倍。
break|[breɪk] v. 打碎；折断 n. 破裂；休息|If you discover a fire, break the glass to sound the fire alarm.|如果你发现了火灾,打碎玻璃去弄响火警铃报警。
breast|[brest] n. 乳房；胸脯 vt. (以胸)对着|The little baby can take nourishment from the breast.|小婴儿可以从乳房中吸取营养。
breathe|[briːð] vi. 呼吸 vt. 轻声说；流露（自信等感情）|Fish cannot breathe out of water.|鱼离开水就不能呼吸。
breed|[briːd] v. 繁殖；养育 n. 品种；血统|Wild animals don't breed well in captivity.|野生动物圈养时不好繁殖。
breeze|[briːz] n. 微风；轻而易举的事 v. 飘然而行；轻松通过|The wheat rippled in the breeze.|小麦在微风中起伏波动。
brick|[brɪk] n. 砖；砖块 vt. 用砖围砌（或堵）|His new house was built by himself, brick by brick.|他的新房子是他自己一块砖一块砖砌起来的。
brief|[briːf] adj. 短暂的；短期的 n. 摘要；案件陈述 vt. 作…的概述；（向…）简单介绍|There was a brief pause in the conversation.|对话中有短暂的停顿。
bright|[braɪt] adj. 明亮的；聪明的 adv. 一早 n. 亮色|The bright moonlight showed the Taj Mahal in all its glory.|泰姬陵在明亮的月光下显得光彩夺目。
brighten|[ˈbraɪtn] v. 使变亮；使生辉|The paint will brighten the room.|这种油漆将会使房了变亮。
brilliant|[ˈbrɪljənt] adj. 卓越的；灿烂的 n. 宝石|He has got brilliant achievements in the field of physics.|他在物理学方面已经取得了卓越的成就。
brim|[brɪm] n. 边；边缘 v. （装）满；（使）溢出|He drank at the fountain's brim.|他醉在喷泉边。
bring|[brɪŋ] vt. 带来；促使 vi. 产生|She brought her boyfriend to the party.|她带着男朋友来参加聚会。
brisk|[brɪsk] adj. 敏锐的；活泼的 v. （使）轻快|His movements were brisk and boyish.|他的动作仍很敏捷，孩子气。
bristle|[ˈbrɪsl] n. 刚毛；猪鬃 v. 生气；直立|His chin was covered with bristles.|他的下巴上长满了胡子茬。
Britain|[ˈbrɪtn] n. 英国；不列颠|Britain has always had a large navy, called the Royal Navy.|英国一直有一支强大的海军，称为皇家海军。
British|[ˈbrɪtɪʃ] adj. 英国的；不列颠的 n. 英国人；英式英语|British manufacturing industry has been running down for years.|英国的制造业多年来一直在走下坡路。
brittle|[ˈbrɪtl] adj. 易碎的；尖利的 n. 果仁薄脆糖|The ice is brittle as the thin glass.|这些冰像薄的玻璃一样易碎。
broad|[brɔːd] adj. 宽广的；清楚无误的 n. 女子|The broad steps in front of the mansion made it look very dignified.|宽阔的台阶使大厦的正面显得很气派。
broadcast|[ˈbrɔːdkɑːst] v. 广播；散布 n. 广播；广播节目|The chairman's speech will be broadcast nationwide.|主席的讲话将向全国广播。
broken|[ˈbrəʊkən] adj. 弄坏的；破碎的 动词break的过去分词.|He likes to tinker at broken gadgets.|他喜欢摸弄坏掉的小器具。
bronze|[brɒnz] n. 青铜；青铜色 adj. 青铜制的；青铜色的 vt. 使成青铜色|The statue is made of bronze.|这座雕像是青铜铸成。
brood|[bruːd] n. 一窝；一伙 v. 孵；沉思|The bird was trying to find food for its brood.|鸟儿在为它的一窝小鸟觅食。
brook|[brʊk] n. 小河；溪 vt. (常用于否定句或疑问句)容忍；忍受|He jumped his pony across the brook.|他使小马驹跳过了小河。
broom|[bruːm] n. 扫帚；金雀花 vt. 清扫|We use broom to sweep the floor.|我们用扫帚扫地。
brother|[ˈbrʌðə(r)] n. 兄弟；教友|John and Peter are brothers.|约翰和彼得是兄弟。
brow|[braʊ] n. 前额；眉毛|Deep furrows lined his brow.|深深的皱纹布上他的额头。
brown|[braʊn] adj. 棕色的；褐色的 n. 褐色；棕色 v. （使）变褐色 Brow n.  n. 布朗(姓氏)|He had brown skin.|他的皮肤是棕色的
bruise|[bruːz] n. 瘀青；擦伤 vi. 碰伤；擦伤 vt. 使挫伤|His face is a mass of bruise after the fight.|他打完架后脸上青一块紫一块的。
brush|[brʌʃ] n. 刷子；画笔 n. 灌木丛 n. 小冲突；争吵 vt. 刷；掠过 vi. 轻擦；拂拭|He painted the wall with a brush.|他用刷子涂墙。
brute|[bruːt] n. 畜生；残忍的人 adj. 残忍的；无理性的|Eichmann is not a low police brute.|艾克曼不是一个低三下四的警察畜生。
bubble|[ˈbʌbl] n. 气泡；泡影 v. 起泡；冒泡|A bubble will burst at the slighsett touch.|气泡稍微一碰就破。
bucket|[ˈbʌkɪt] n. 【C】水桶；（机器上的）桶装物 vi. 颠簸行进；下倾盆大雨 vt. 装在桶里|Go and fill this bucket with water for me.|去替我装满一桶水来。
bud|[bʌd] n. 芽；花蕾 vi. 发芽；萌芽 vt. 使发芽|The roses are in bud.|玫瑰花正含苞待放。
build|[bɪld] v. 建造；开发 n. 体格；身材|That house is built of bricks.|那座房子是砖造的。
building|[ˈbɪldɪŋ] n. 建筑物|The heat had blistered the paint of the building.|酷热使建筑物上的油漆起了浮泡。
bulb|[bʌlb] n. 球茎；电灯泡|Onions and lilies grow from bulbs.|洋葱和百合是从球茎中长出的。
bulk|[bʌlk] n. 体积；容积 adj. 散装的；大量的 vt. 使膨胀；使成堆 vi. 膨胀；显得重要|It's not their weight that makes these sacks hard to carry, it's their bulk.|这些袋子难以搬运,倒不是因为重而是体积太大。
bullet|[ˈbʊlɪt] n. 子弹；弹丸|He grunted as the bullet hit him.|子弹击中他时他疼得哼了出来。
bunch|[bʌntʃ] n. 串；束 n. 突出物；凸起 vt. 使成一束(或一群等) vi. 隆起；成束成群|I bought a bunch of grapes.|我买了一串葡萄。
bundle|[ˈbʌndl] n. 捆；束 v. 捆；把 ... 扎成一捆|He collected a bundle of sticks.|他收集了一捆树枝。
burden|[ˈbɜːdn] n. 负担；责任 v. 使负重；装载|The burden on his back seemed to be crushing him to the earth.|他背上的重负似乎要把他压倒在地。
bureau|[ˈbjʊərəʊ] n. 局；办事处|He works in this bureau.|他在这个局工作过。
burn|[bɜːn] v. 燃烧；烧着 n. 烧伤；燃烧|Half the candle had burnt away.|蜡烛已烧去一半。
burst|[bɜːst] n. 爆发；破裂 v. 爆裂；迸发|There was a burst of laughter in the next room.|隔壁房间里突然爆发出一阵笑声。
bury|[ˈberi] vt. 埋葬；隐匿|Even if you kill me, even if you bury me, I should rise again.|即使你杀了我
bush|[bʊʃ] n. 灌木丛；矮树 v. 丛生；(以灌木)标记、保护、支撑 Bush. n. 布什(姓氏)|He scrabbled about in the bush for the ball.|他在灌木丛中爬着到处找球。
business|[ˈbɪznəs] n. 商业；事务|He had no head for business.|他毫无商业头脑。
but|[bət] conj. 但是 prep. 除 ... 以外 adv. 仅仅；只 pron. 无不|Our world is but a small part of the cosmos.|我们的世界仅仅是宇宙的一小部分而已。
butcher|[ˈbʊtʃə(r)] n. 屠夫；刽子手 vt. 屠宰；滥杀|The butcher chopped off a rib of frozen pork.|屠夫砍下一块冻肉的肋条。
butter|[ˈbʌtə(r)] n. 黄油；奶油 vt. 涂黄油；奉承|inflict symbolically|妈妈让我把黄油和糖搅成奶油状。
butterfly|[ˈbʌtəflaɪ] n. 蝴蝶；蝶状物 vt. (烹饪时把鱼肉等）切开摊平|A butterfly must not be confused with a moth.|不得将蝴蝶和飞蛾混同起来。
button|[ˈbʌtn] n. 纽扣；按钮 v. 扣上纽扣；用纽扣装饰|One of the buttons has come off my coat.|我上衣上的一颗扣子掉了。
buy|[baɪ] vt. 购买；买 vi. 买 n. 购买；便宜货|Money can't buy happiness.|金钱买不来幸福。
cabbage|[ˈkæbɪdʒ] n. 卷心菜；洋白菜|He is busy pricking out some cabbage seedlings.|他正忙于移植一些卷心菜秧。
cabin|[ˈkæbɪn] n. 船舱；机舱 vt. 抑制 vi. 住在小屋|He made out of the cabin on hearing the siren.|他一听到汽笛声就立即走出船舱。
cabinet|[ˈkæbɪnət] n. 橱柜；内阁 adj. 内阁的；秘密的|She needs a cherry cabinet in her room.|她需要在她房里添一个樱桃木的柜子。
cable|[ˈkeɪbl] n. 电缆；缆 v. 发电报；(通过电缆)交流|Cable television has been around for some time now.|有线电视面世已有些时日了。
cafe|[ˈkæfeɪ] n. 咖啡馆；小餐馆|This cafe keeps late into the night.|这家咖啡馆一直开到深夜。
cafeteria|[ˌkæfəˈtɪəriə] n. 自助餐厅|They had their lunch in a cafeteria.|他们在一家自助餐厅吃了午饭。
cage|[keɪdʒ] n. 笼子；监狱 vt. 关入笼中|The old man wants to buy a cage for birds.|老人想买一个鸟笼。
calculate|[ˈkælkjuleɪt] v. 计算；估计|Can you calculate the content of the tube?|你能计算出试管的容量吗?
calculation|[ˌkælkjuˈleɪʃn] n. 计算；估计|Your calculation is way off beam.|你的计算大错特错。
calendar|[ˈkælɪndə(r)] n. 日历；历法 vt. 把 ... 列入日程表|He tore a leaf from the calendar.|他从日历上撕下一页。
call|[kɔːl] vt. 呼叫；打电话 n. 打电话；访问 vi. 呼叫；(短暂的)拜访|The shouting boy did not hear his mother call him.|大声叫嚷的孩子听不到妈妈的叫唤。
calm|[kɑːm] adj. 平静的；冷静的 v. (使)平静；(使)镇静 n. 镇定；平静|The calm sea gave no hint of the storm that was coming.|平静的海上没有一点迹象显示暴风雨即将来临。
camel|[ˈkæml] n. 骆驼；浮船箱|The camel is a herbivorous animal.|骆驼是一种食草动物。
camera|[ˈkæmərə] n. 照相机；摄像机|This wall will do as a rest for your camera.|这面墙可以作为你照相机的依托。
camp|[kæmp] n. 野营；帐篷 v. 宿营；露营|We're going to have a sports camp in the countryside during our summer vacation.|暑假期间我们要在乡下搞一次运动野营。
campaign|[kæmˈpeɪn] n. 运动；战役 v. 参加竞选；从事运动|The campaign was a blockbuster.|这次竞选运动声势浩大。
campus|[ˈkæmpəs] n. 校园；场地 adj. 校园的|The new library was built in the centre of the campus.|新图书馆建在校园的中心。
can|[kæn] aux. 可以；能 n. 罐头 v. 罐装；解雇|You can count on me.|你可以指望我。
Canadian|[kəˈneɪdiən] adj. 加拿大的；加拿大人的 n. 加拿大人|Canadian families have a lot of leisure time.|加拿大的家庭有许多闲暇时间。
canal|[kəˈnæl] n. 运河；沟渠 vt. 建运河；疏导|The canal is now open to shipping.|该运河现已通航。
cancel|[ˈkænsl] v. 取消；作废 n. 取消；删除|The match had to be cancelled due to the bad weather.|比赛因天气不好只得取消。
cancer|[ˈkænsə(r)] n. 癌；肿瘤 n. 巨蟹座|He was afflicted with cancer.|他患了癌症。
candidate|[ˈkændɪdət] n. 候选人；应试者|There are three candidates for the vacancy.|这一空缺有三名候选人。
candle|[ˈkændl] n. 蜡烛；烛形物 vt. 对光检查|He put the candle on the silver candlestick.|他把蜡烛放在银烛台上。
candy|[ˈkændi] n. 糖果 v. 用糖煮；使结晶为砂糖|The greedy little boy ate all the candy at the party.|那个贪吃的小男孩把宴会上所有的糖果都吃光了。
cannon|[ˈkænən] n. 大炮；机关炮 v. 开炮；相撞|The cannon shot the town to pieces.|大炮的射击毁了这座城市。
canoe|[kəˈnuː] n. 独木舟 v. 乘独木舟；用独木舟运|We crossed the lake in a canoe.|我们乘独木舟过河。
canteen|[kænˈtiːn] n. 食堂；水壶|He always bring a canteen with him on a hike.|他作徒步旅行时总是带着水壶。
canvas|[ˈkænvəs] n. 油画；帆布|The artist showed me his canvases.|画家给我看了他的油画。
cap|[kæp] n. 帽子；盖子 vt. 超过；加盖于 vi. 脱帽致意|He took off his cap.|他摘掉帽子。
capable|[ˈkeɪpəbl] adj. 有能力的；能干的|Not everyone is capable of judging art.|并不是每个人都有鉴赏艺 术的能力。
capacity|[kəˈpæsəti] n. 容量；容积|That bowl has a capacity of two pints.|那只碗的容量有两品脱。
capital|[ˈkæpɪtl] n. 首都；资本 adj. 资本的；大写的|Beijing is the capital of China.|北京是中国的首都。
captain|[ˈkæptɪn] n. 首领；队长 vt. 指挥；率领|And they'll find that their bold captain is nowhere to be found|但他们再也找不到他们豪勇的首领了。
captive|[ˈkæptɪv] n. 俘虏；迷恋者 adj. 被俘的；被迷住的|The captive was whooped and jeered.|俘虏被叱责讥笑。
capture|[ˈkæptʃə(r)] vt. 捕获；占领 n. 捕获；战利品|The animals are captured in nets and sold to local zoos.|那些动物用网捕获后被卖到当地的动物园。
carbon|[ˈkɑːbən] n. 碳；复写纸|Carbon dioxide consists of carbon and oxygen.|二氧化碳是由碳和氧组成的。
card|[kɑːd] n. 纸牌；卡片 v. 把 ... 记入卡片；梳理|They play cards every Friday.|他们每个星期五玩纸牌。
care|[keə(r)] v. 关心；担忧 n. 小心；照料|It makes me feel good that you care about me.|你关心我,我感到很高兴。
career|[kəˈrɪə(r)] n. 生涯；职业 vi. 猛冲；飞跑|His early career was not a great success.|他早期的生涯并不很成功。
careful|[ˈkeəfl] adj. 小心谨慎的；慎重的|He is careful in his speech.|他说话谨慎。
careless|[ˈkeələs] adj. 粗心的；疏忽的|It was careless of you to leave the door unlocked.|你没锁门，太粗心了。
cargo|[ˈkɑːɡəʊ] n. 货物；船货|The ship is discharging the cargo.|船正在卸货。
carpenter|[ˈkɑːpəntə(r)] n. 木匠 v. 做木工活|The carpenter was busy sawing the logs into planks.|这位木匠正忙着把圆木锯成厚板。
carpet|[ˈkɑːpɪt] n. 地毯；地毯状物 vt. 铺盖；铺以地毯|This carpet is of Russian style.|这块地毯是俄国风格的。
carriage|[ˈkærɪdʒ] n. 四轮马车；客车车厢|The carriage passed through the palace gate.|马车进入了宫殿的大门。
carrier|[ˈkæriə(r)] n. 航空母舰；运输工具|The missile was launched from the aircraft carrier.|导弹是从航空母舰上发射的。
carrot|[ˈkærət] n. 胡萝卜；好处|Have some more carrot.|再吃点胡萝卜。
carry|[ˈkæri] v. 携带；运送 n. 【计】进位；运载|She came in carrying an important-looking piece of paper.|她进来时,拿着一份看来很重要的文件。
cart|[kɑːt] n. 【C】(二轮或四轮)运货马车；手推车 vt. (用手推车)运送；(用力|Don't put the cart before the horse.|[谚]勿本末倒置。
carve|[kɑːv] v. 雕刻；切割|The statue was carved out of marble.|这座雕像是用大理石雕刻的。
case|[keɪs] n. 例子；情况 v. 装箱；踩点|Talk of wasting money, my buying this car is a case in point.|谈到浪费钱财,我买这台车就是个恰当的例子。
cash|[kæʃ] n. 现金 vt. 付现款；兑现 adj. 现金的|He paid the cash into his bank account.|他把现金存入银行帐户。
cassette|[kəˈset] n. 盒式磁带；暗盒|Cassette tape recorders are gradually out of date now.|现在,盒式磁带录音机渐渐过时了。
cast|[kɑːst] v. 掷；抛 n. 演员阵容；投掷|The angler cast her line into the stream.|那个垂钓者把鱼线掷进了小溪里。
castle|[ˈkɑːsl] n. 城堡 v. 置于城堡中；(棋)移动王车易位|A spirit haunts the castle.|幽灵常出没于古堡。
casual|[ˈkæʒuəl] adj. 非正式的；漫不经心的 n. 便装；临时工|The plan grew out of a casual conversation.|这个计划出自于一次非正式的谈话。
cat|[kæt] n. 猫；猫科动物 v. 起锚；寻找性伴侣 abbr. 目录（=catalog）|A cat mews.|猫喵喵叫。
catalog|[ˈkætəlɔːg] n. 目录；大学概况手册 vt. 做目录；分类说明 vi. (商品)在型录中明码标价|You can look for the book in the library catalog.|你可以在图书馆的图书目录上查找这本书。
cathedral|[kəˈθiːdrəl] n. 大教堂|Photography is strictly forbidden in the cathedral.|教堂内严禁摄影。
cattle|[ˈkætl] n. 牛；家畜|There is much forage for the cattle.|那儿有很多喂牛的饲料。
cause|[kɔːz] vt. 引起；使发生 n. 原因；理由|Smoking can cause lung cancer.|吸烟可致肺癌。
cave|[keɪv] n. 洞穴；山洞 v. 挖空；塌落|This cave was used by smugglersin the eighteenth century.|这个洞穴是十八世纪走私的人使用的。
cease|[siːs] v. 终止；停止 n. 停止|He was going to cease working for them.|他将不再为他们干活。
ceiling|[ˈsiːlɪŋ] n. 天花板；上限|He cracked his nut on the ceiling.|他的头让天花板碰破了。
celebrate|[ˈselɪbreɪt] v. 庆祝；庆贺|Let's celebrate!|让我们好好庆祝一下吧！
cell|[sel] n. 单人牢房；小房间|The prisoner was locked in a cell.|那囚犯被关在单人牢房内。
cellar|[ˈselə(r)] n. 地窖；地下室 vt. 把 ... 藏入地窑|This wine cellar stays at an even temperature all year round.|这个酒窖常年保持恒温。
cement|[sɪˈment] n. 水泥；纽带 vt. 用水泥涂；巩固 vi. 接合起来|The sack of cement hit the ground with a thump.|水泥袋砰的一声落在地上。
cent|[sent] n. 分|I'm a hundred per cent certain.|我百分之百地肯定。
centigrade|[ˈsentɪɡreɪd] adj. 摄氏的；百分度的|This thermometer is calibrated by centigrade.|这种温度计是用摄氏百分度标定的。
centimetre|[ˈsentɪmiːtə(r)] n. 厘米 =centimeter（美）|Round each measurement to the nearest whole inch or centimetre.|将每个测量数目四舍五入到最近的英寸或厘米整数。
central|[ˈsentrəl] adj. 中心的；中央的 n. 中心枢纽；中央办公室|My house is very central.|我的家非常靠近市中心。
centre|[ˈsentə(r)] n. 中心；集中点 v. 居中；使集中 =center adj. 中心的；中央的|That new shopping centre is a real eyesore.|那个新的购物中心真是难看极了。
century|[ˈsentʃəri] n. 百年；世纪 adj. 百年的|This book was written centuries ago.|这本书是几百年前写的。
ceremony|[ˈserəməni] n. 仪式；礼节|The marriage ceremony took place in the church.|婚礼在教堂举行。
certain|[ˈsɜːtn] adj. 确定的；肯定的 pron. 某些；某几个|It's certain that every effect must have a cause.|无疑，每个结果必定有其原因。
certainly|[ˈsɜːtnli] adv. 当然；一定|You are certainly a talented artist.|你当然是位有天赋的艺术家。
certainty|[ˈsɜːtnti] n. 确定；确实的事情|I can say with certainty that this is true.|我可以很确定地说这是真实的。
certificate|[səˈtɪfɪkət] n. 执照；证(明)书 vt. 认可；批准|The driver's certificate was suspended by the police.|这个司机的驾驶执照被警察吊销了。
chain|[tʃeɪn] n. 束缚；链条 vt. 束缚；用铁链锁住|Though you seek in garments the freedom of privacy you may find in them a harness and a chain.|你们想借着衣服得到隐私的自由,反而却因此为之羁绊和束缚。
chairman|[ˈtʃeəmən] n. 主席；会长 v. 担任 ... 的主席(议长)|The chairman exhorted the party workers to take action.|主席敦促党的工作人员采取行动。
chalk|[tʃɔːk] n. 粉笔；白垩 v. 用粉笔写；记录|The teacher wrote on the blackboard with a piece of chalk.|老师用一支粉笔在黑板上写字。
challenge|[ˈtʃælɪndʒ] n. 挑战；邀请比赛 v. 向 ... 挑战；盘问|The crossing of this dangerous river was a challenge to most of us.|对我们大多数人来说,横渡这条充满危险的大河确实是个挑战。
chamber|[ˈtʃeɪmbə(r)] n. 室；会议厅 adj. 【音】室内的，小型的；私人的，秘密的|The heart has four chambers.|心脏有两房两室。
champion|[ˈtʃæmpiən] n. 拥护者；冠军 vt. 拥护；保卫|He is a champion of women's rights.|他是妇女权利的卫士.
chance|[tʃɑːns] n. 可能性；机会 v. 偶然发生；碰巧|That would be a daunting task with little chance of success.|那样做的话任务过于艰巨,且成功的可能性微乎其微。
chapter|[ˈtʃæptə(r)] n. 章；回|One of the funniest episodes in the book occurs in chapter 6.|书中最有趣的情节是在第6章。
character|[ˈkærəktə(r)] n. 个性；品质 adj. [剧](角色)代表某一特性的|The boy has a strong character.|这孩子个性很强。
characteristic|[ˌkærəktəˈrɪstɪk] n. 特点；特性 adj. 典型的；特有的|Ambition is a characteristic of all successful businessmen.|雄心勃勃是所有成功生意人的共同特点。
charge|[tʃɑːdʒ] n. 责任；电荷 vi. 要价；充电 vt. 控诉；赊帐|As group leader, you should take charge.|你身为组长, 应当负起责任来。
charity|[ˈtʃærəti] n. 慈善；宽厚|They did so under the mask of charity.|他们是打着慈善的幌子这么做的。
charming|[ˈtʃɑːmɪŋ] adj. 迷人的|Her colorful character makes her very charming.|她生动活泼的性格使她非常富有魅力。
chart|[tʃɑːt] n. 图表；规划图 v. 制成图表；绘制地图|Can you read the weather chart?|你能看懂气象图吗？
chase|[tʃeɪs] vt. 追捕；追求 vi. 奔跑；追赶 n. 追捕；争取|He chased (after) the burglar but couldn't catch him.|他追赶窃贼却未捉住。
cheap|[tʃiːp] adj. 便宜的；廉价的|Her shoes look cheap.|她的那双鞋看上去很便宜。
cheat|[tʃiːt] vt. 欺骗；骗取 vi. 作弊；行骗 n. 骗子；欺骗|We were on our honor not to cheat the customers.|我们以名誉担保不欺骗顾客。
check|[tʃek] v. 检查；阻止 n. 检查；阻碍|Do look out for spelling mistakes when you check your homework.|你检查作业时要当心拼写错误。
cheer|[tʃɪə(r)] n. 欢呼；激励 vt. 鼓舞；加油 vi. 欢呼；使振奋|The audience greet his speech with loud cheer.|听众对他的演讲报以高声欢呼。
cheerful|[ˈtʃɪəfl] adj. 高兴的；快乐的|His cheerful manner belied his real feelings.|他那快活的样子掩饰了他真实的感情。
cheese|[tʃiːz] n. 干酪；乳酪 vt. 使停止|This cheese is rather bland.|这干酪没什么味道。
chemical|[ˈkemɪkl] adj. 化学的 n. 药品；化学物|The government has banned the use of chemical weapons.|政府已经禁止使用化学武器。
chemist|[ˈkemɪst] n. 化学家；药剂师|Do you want anything from the chemist?|你想向化学家要些什么吗？
chemistry|[ˈkemɪstri] n. 化学|I prefer chemistry to physics.|我喜欢化学甚于物理。
cheque|[tʃek] n. 支票 =check(美).|Don't forget to date your cheque.|不要忘记在支票上写上日期。
cherry|[ˈtʃeri] n. 樱桃；樱桃树|He went to the cherry orchard to see flowers.|他去樱桃园看花。
chess|[tʃes] n. 国际象棋|My win at chess raised my spirits a little.|我赢了这盘国际象棋才打起了一点精神。
chest|[tʃest] n. 胸部；胸腔|The soldier received a serious wound on the chest.|这名士兵胸部受了重伤。
chew|[tʃuː] vt. 咀嚼；嚼碎 vi. 咀嚼 n. 咀嚼；咀嚼物|Many people like to chew mint gum in the summer.|许多人喜欢在夏天嚼薄荷口香糖。
chief|[tʃiːf] adj. 主要的；首要的 n. 首领|In USA, NewYork City is the chief seat of commerce.|在美国,纽约是主要的商业中心。
child|[tʃaɪld] n. 小孩；子女|He's still but a child.|他仅仅是个小孩子。
childhood|[ˈtʃaɪldhʊd] n. 童年；幼年|I have only misty memories of my early childhood.|我对自己的童年只剩一些模糊的记忆。
childish|[ˈtʃaɪldɪʃ] adj. 孩子气的；幼稚的|She clapped her hands in childish glee.|她孩子气地高兴地拍着手。
chill|[tʃɪl] v. (使)变冷；(使)扫兴 n. 寒冷；扫兴 adj. 冷淡的；寒冷的|Come by the fire you must be chilled to the marrow!|到火旁边来吧－－你一定冻坏了。
chimney|[ˈtʃɪmni] n. 烟囱|The explosion toppled the old chimney.|这次爆炸把那个旧烟囱给炸倒了。
